@relation java_app_incre_v1

@attribute ID {B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,B61,B62,B63,B64,B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83,B84,B85,B86,B87,B88,B89,B90,B91}
@attribute LOC numeric
@attribute EI numeric
@attribute EO numeric
@attribute AFP numeric
@attribute APEX numeric
@attribute LTEX numeric
@attribute FILES numeric
@attribute EFFORT numeric

@data
B1,6059,445,20,1690,0,0.33,167,111.85
B2,310,5,10,27,0,0.62,60,18.45
B3,1906,50,20,87,0,0.47,63,40.12
B4,1880,5,10,32,0,0.21,64,45.96
B5,19774,30,20,195,0,0.32,659,346.11
B6,10447,20,10,63,0.13,0.13,198,20.1
B7,18575,95,20,485,0,0.47,491,350.7
B8,1683,10,40,62,0,0.98,75,44.46
B9,948,5,5,27,0,0.86,49,35.86
B10,5259,10,5,32,0,0.27,8,107.6
B11,5989,10,10,57,0,0.22,146,113.08
B12,2522,25,10,52,0,0.89,47,76.88
B13,4855,35,10,1270,0,0.18,214,84.54
B14,3063,35,30,132,0,0.3,49,64.56
B15,23406,5,20,112,0,0.25,514,442.17
B16,243017,270,15,1210,0,0.3,3376,640.23
B17,6505,20,10,47,0,0.43,228,105.13
B18,20559,15,10,65,0,0.53,471,419.42
B19,1939,15,35,67,0,0.21,86,46.02
B20,3429,30,45,235,0,0.38,90,67.59
B21,19809,5,15,32,0,0.13,489,315.61
B22,91,10,5,32,0,0.2,2,9.55
B23,24582,15,5,67,0,0.22,697,468.93
B24,25062,10,15,51,0.23,0.26,179,14.9
B25,5093,20,45,77,0.54,0.58,98,18.8
B26,31721,45,10,72,0.13,0.13,263,10.9
B27,6071,15,5,37,0,0.23,226,118.9
B28,5781,21,14,72,0,0.13,265,117.47
B29,774,10,10,37,0,0.76,27,34.43
B30,4319,5,50,74,0.17,0.2,117,39.3
B31,18859,30,50,117,0.71,0.91,2369,20.3
B32,434,5,10,27,0,0.97,19,23.51
B33,5182,25,5,117,0,0.16,147,120.61
B34,5963,25,10,195,0,0.39,219,101.86
B35,16815,50,15,270,0.44,0.47,407,26
B36,27540,5,20,200,0.48,0.59,1213,129.9
B37,1542,30,25,72,0.13,0.13,52,15.6
B38,3564,435,20,2070,0.28,0.34,130,11.8
B39,3586,525,20,1875,0.2,0.22,198,13.1
B40,1720,15,10,42,0.16,0.17,20,4.3
B41,3394,25,15,52,0,0.13,126,65.52
B42,4263,45,20,91,0,0.54,90,97.16
B43,8676,35,35,87,0,0.13,449,279.36
B44,3807,5,20,37,0,0.16,43,89.62
B45,2841,20,25,62,0,0.13,106,75.09
B46,9241,5,10,32,0,0.18,439,148.86
B47,2284,10,25,92,0,0.19,104,72.76
B48,4223,50,30,97,0,0.85,150,99.27
B49,1429,30,20,62,0,0.18,76,57.16
B50,10639,35,10,205,0,0.57,405,353.39
B51,42905,60,5,152,0.57,0.67,1086,140.6
B52,31557,30,25,200,1,1,893,165.6
B53,34306,75,15,415,0,0.34,852,763.13
B54,14222,125,15,975,0,1,396,368.61
B55,2978,35,20,67,0,0.25,111,78.82
B56,5526,20,10,47,0.19,0.22,272,29.4
B57,13534,80,15,112,0.99,1,405,220.4
B58,504,0,40,57,0,0.69,329,38.21
B59,10705,45,5,300,0.62,0.82,196,54.1
B60,10227,49,7,73,0,0.44,315,362.76
B61,4510,30,30,147,0.88,0.87,125,34.3
B62,21010,14,21,92,0.45,0.61,537,87.8
B63,621,70,40,405,0,0.27,132,35.48
B64,20318,95,10,970,0.18,0.21,690,45
B65,1354,56,14,87,0,0.27,103,55.08
B66,46309,80,5,500,0,0.13,836,777.12
B67,116195,658,49,2667,0,0.57,1293,663.6
B68,11421,195,15,1240,0.86,0.94,1127,138.5
B69,58152,35,35,215,0.16,0.18,1290,5.4
B70,21263,10,30,380,0.34,0.34,1021,13.2
B71,2044,15,35,67,0,0.27,106,77.42
B72,2835,285,10,755,0,0.29,67,69.89
B73,4561,50,10,77,0,0.23,161,86.67
B74,7872,120,15,520,0,0.73,350,108.38
B75,1549,30,30,77,0.8,0.92,72,18.9
B76,618,10,5,27,0.15,0.18,10,21.3
B77,25821,20,25,190,0.82,0.93,1222,145.3
B78,20400,20,15,92,0.9,0.97,398,85.8
B79,105966,245,15,15105,0.13,0.13,136,10.5
B80,3193,45,25,87,0.43,0.65,79,66.2
B81,11978,70,15,335,1,1,261,140.8
B82,2796,10,25,54,0,0.42,128,75.64
B83,8032,30,10,59,0,1,196,215.13
B84,1672,40,10,62,0.21,0.29,214,6.8
B85,37409,175,35,685,0,0.7,1607,547.67
B86,24174,5,25,77,0.56,0.66,665,223.2
B87,4463,15,30,57,0.13,0.13,184,27.7
B88,1187,45,10,72,0,0.26,56,45.95
B89,1180,60,20,270,0,0.26,55,58.18
B90,7107,10,10,39,0.64,0.76,156,61.2
B91,2903,10,15,42,0.33,0.5,114,27.1
