@relation webshop_shoppingsite_v1_incre

@attribute ID {B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34}
@attribute LOC numeric
@attribute EI numeric
@attribute EO numeric
@attribute AFP numeric
@attribute APEX numeric
@attribute LTEX numeric
@attribute FILES numeric
@attribute EFFORT numeric

@data
B1,3346,5,5,27,0.6,0.59,74,16.97
B2,31957,50,50,182,0.83,0.85,285,52.62
B3,258,5,5,22,0.16,0.17,7,2.66
B4,1750,5,5,22,0.18,0.21,105,16.95
B5,442,5,5,27,0.13,0.13,11,7.01
B6,783,5,5,22,0.19,0.2,44,11.75
B7,571,10,15,42,0.13,0.13,12,4.23
B8,8995,185,10,760,0.14,0.16,190,29.24
B9,3800,5,56,73,0.85,0.8,80,20.03
B10,345,5,5,22,0.17,0.19,25,1.32
B11,1037,5,5,22,0.13,0.13,23,9.18
B12,634,7,10,28,0.16,0.18,30,8.03
B13,2290,10,5,32,0.16,0.18,115,18.61
B14,1059,21,7,45,0.21,0.27,62,11.33
B15,720,5,5,27,0.19,0.22,14,8.63
B16,4663,10,5,27,0.18,0.19,158,23.67
B17,725,5,10,32,0.16,0.18,23,4.21
B18,4255,10,5,42,0.22,0.24,56,25.93
B19,773,5,5,27,0.19,0.21,25,2.32
B20,873,0,5,17,0.21,0.22,18,9.97
B21,921,5,20,42,0.18,0.21,16,8.76
B22,2006,15,5,37,0.15,0.16,68,19.63
B23,1263,15,25,67,0.19,0.2,35,13.57
B24,380,5,6,30,0.16,0.18,16,4.14
B25,1457,15,5,37,0.27,0.31,36,14.43
B26,1061,10,5,27,0.22,0.25,44,13.65
B27,524,0,5,17,0.28,0.29,30,1.93
B28,1202,35,10,62,0.1,0.1,59,13.54
B29,753,10,5,32,0.56,0.51,12,8.57
B30,406,5,5,22,0.27,0.27,24,7.16
B31,795,10,5,32,0.3,0.29,25,2.65
B32,941,0,10,22,0.15,0.17,18,9.76
B33,1285,35,15,67,0.19,0.24,48,15.33
B34,615,5,12,23,0.71,0.66,23,2.02
